,Time period,Current period
,"
              Day
            ",Site sessions
1,2022-11-13 00:00:00,130
2,2022-05-30 00:00:00,92
3,2022-07-19 00:00:00,68
4,2022-05-31 00:00:00,62
5,2023-03-12 00:00:00,58
6,2022-12-19 00:00:00,49
7,2022-04-14 00:00:00,44
8,2022-12-18 00:00:00,42
9,2022-07-18 00:00:00,40
10,2022-06-21 00:00:00,39
11,2022-06-20 00:00:00,38
12,2022-05-11 00:00:00,37
13,2022-11-14 00:00:00,32
14,2023-03-13 00:00:00,29
15,2022-04-15 00:00:00,28
16,2022-09-03 00:00:00,25
17,2022-09-04 00:00:00,25
18,2022-07-20 00:00:00,21
19,2022-12-20 00:00:00,19
20,2022-08-31 00:00:00,17
21,2022-05-12 00:00:00,14
22,2022-07-21 00:00:00,13
23,2022-06-01 00:00:00,12
24,2022-09-05 00:00:00,10
25,2022-04-16 00:00:00,9
26,2022-07-10 00:00:00,9
27,2022-09-10 00:00:00,9
28,2022-12-21 00:00:00,9
29,2022-04-05 00:00:00,7
30,2022-05-14 00:00:00,7
31,2022-06-22 00:00:00,7
32,2022-10-16 00:00:00,7
33,2022-05-15 00:00:00,6
34,2022-06-24 00:00:00,6
35,2022-07-30 00:00:00,6
36,2022-09-11 00:00:00,6
37,2022-09-25 00:00:00,6
38,2022-11-16 00:00:00,6
39,2023-02-23 00:00:00,6
40,2023-03-18 00:00:00,6
41,2022-03-26 00:00:00,5
42,2022-04-08 00:00:00,5
43,2022-04-17 00:00:00,5
44,2022-04-22 00:00:00,5
45,2022-05-08 00:00:00,5
46,2022-05-13 00:00:00,5
47,2022-05-27 00:00:00,5
48,2022-06-02 00:00:00,5
49,2022-06-03 00:00:00,5
50,2022-07-15 00:00:00,5
51,2022-08-07 00:00:00,5
52,2022-08-26 00:00:00,5
53,2022-09-18 00:00:00,5
54,2022-10-31 00:00:00,5
55,2022-11-15 00:00:00,5
56,2022-11-22 00:00:00,5
57,2022-12-22 00:00:00,5
58,2023-01-28 00:00:00,5
59,2023-02-11 00:00:00,5
60,2023-02-18 00:00:00,5
61,2022-03-22 00:00:00,4
62,2022-03-24 00:00:00,4
63,2022-03-25 00:00:00,4
64,2022-03-27 00:00:00,4
65,2022-04-09 00:00:00,4
66,2022-05-03 00:00:00,4
67,2022-05-17 00:00:00,4
68,2022-06-05 00:00:00,4
69,2022-08-25 00:00:00,4
70,2022-09-08 00:00:00,4
71,2022-10-05 00:00:00,4
72,2022-10-13 00:00:00,4
73,2022-10-23 00:00:00,4
74,2022-10-24 00:00:00,4
75,2022-10-28 00:00:00,4
76,2022-12-10 00:00:00,4
77,2022-12-24 00:00:00,4
78,2023-03-14 00:00:00,4
79,2022-03-21 00:00:00,3
80,2022-03-28 00:00:00,3
81,2022-03-31 00:00:00,3
82,2022-04-18 00:00:00,3
83,2022-04-19 00:00:00,3
84,2022-04-21 00:00:00,3
85,2022-05-05 00:00:00,3
86,2022-05-10 00:00:00,3
87,2022-05-28 00:00:00,3
88,2022-06-04 00:00:00,3
89,2022-06-14 00:00:00,3
90,2022-07-14 00:00:00,3
91,2022-07-22 00:00:00,3
92,2022-08-11 00:00:00,3
93,2022-08-19 00:00:00,3
94,2022-09-01 00:00:00,3
95,2022-09-06 00:00:00,3
96,2022-09-19 00:00:00,3
97,2022-10-04 00:00:00,3
98,2022-10-11 00:00:00,3
99,2022-10-17 00:00:00,3
100,2022-10-19 00:00:00,3
101,2022-10-20 00:00:00,3
102,2022-10-27 00:00:00,3
103,2022-10-30 00:00:00,3
104,2022-11-03 00:00:00,3
105,2022-11-04 00:00:00,3
106,2022-11-17 00:00:00,3
107,2022-11-19 00:00:00,3
108,2022-11-20 00:00:00,3
109,2022-11-23 00:00:00,3
110,2022-12-15 00:00:00,3
111,2022-12-26 00:00:00,3
112,2023-01-02 00:00:00,3
113,2023-01-03 00:00:00,3
114,2023-01-22 00:00:00,3
115,2023-01-29 00:00:00,3
116,2023-02-26 00:00:00,3
117,2022-03-29 00:00:00,2
118,2022-04-02 00:00:00,2
119,2022-04-06 00:00:00,2
120,2022-04-10 00:00:00,2
121,2022-04-11 00:00:00,2
122,2022-04-13 00:00:00,2
123,2022-04-20 00:00:00,2
124,2022-04-26 00:00:00,2
125,2022-05-06 00:00:00,2
126,2022-05-09 00:00:00,2
127,2022-05-16 00:00:00,2
128,2022-05-19 00:00:00,2
129,2022-05-21 00:00:00,2
130,2022-05-23 00:00:00,2
131,2022-05-24 00:00:00,2
132,2022-06-06 00:00:00,2
133,2022-06-07 00:00:00,2
134,2022-06-09 00:00:00,2
135,2022-06-11 00:00:00,2
136,2022-06-17 00:00:00,2
137,2022-06-18 00:00:00,2
138,2022-06-23 00:00:00,2
139,2022-06-25 00:00:00,2
140,2022-06-27 00:00:00,2
141,2022-06-28 00:00:00,2
142,2022-07-01 00:00:00,2
143,2022-07-02 00:00:00,2
144,2022-07-03 00:00:00,2
145,2022-07-05 00:00:00,2
146,2022-07-06 00:00:00,2
147,2022-07-11 00:00:00,2
148,2022-07-23 00:00:00,2
149,2022-07-24 00:00:00,2
150,2022-08-01 00:00:00,2
151,2022-08-06 00:00:00,2
152,2022-08-12 00:00:00,2
153,2022-08-17 00:00:00,2
154,2022-08-21 00:00:00,2
155,2022-09-07 00:00:00,2
156,2022-09-13 00:00:00,2
157,2022-09-15 00:00:00,2
158,2022-09-21 00:00:00,2
159,2022-09-22 00:00:00,2
160,2022-09-26 00:00:00,2
161,2022-10-09 00:00:00,2
162,2022-10-10 00:00:00,2
163,2022-10-15 00:00:00,2
164,2022-10-21 00:00:00,2
165,2022-10-25 00:00:00,2
166,2022-10-26 00:00:00,2
167,2022-11-01 00:00:00,2
168,2022-11-02 00:00:00,2
169,2022-11-06 00:00:00,2
170,2022-11-08 00:00:00,2
171,2022-11-10 00:00:00,2
172,2022-11-18 00:00:00,2
173,2022-11-24 00:00:00,2
174,2022-11-26 00:00:00,2
175,2022-11-27 00:00:00,2
176,2022-11-29 00:00:00,2
177,2022-12-01 00:00:00,2
178,2022-12-02 00:00:00,2
179,2022-12-07 00:00:00,2
180,2022-12-08 00:00:00,2
181,2022-12-23 00:00:00,2
182,2022-12-28 00:00:00,2
183,2023-01-07 00:00:00,2
184,2023-01-10 00:00:00,2
185,2023-01-18 00:00:00,2
186,2023-01-19 00:00:00,2
187,2023-01-27 00:00:00,2
188,2023-01-31 00:00:00,2
189,2023-02-05 00:00:00,2
190,2023-02-07 00:00:00,2
191,2023-02-10 00:00:00,2
192,2023-02-16 00:00:00,2
193,2023-02-20 00:00:00,2
194,2023-02-25 00:00:00,2
195,2023-02-27 00:00:00,2
196,2023-03-01 00:00:00,2
197,2023-03-02 00:00:00,2
198,2023-03-06 00:00:00,2
199,2023-03-11 00:00:00,2
200,2023-03-15 00:00:00,2
201,2023-03-16 00:00:00,2
202,2023-03-19 00:00:00,2
203,2023-03-20 00:00:00,2
204,2022-03-23 00:00:00,1
205,2022-03-30 00:00:00,1
206,2022-04-01 00:00:00,1
207,2022-04-03 00:00:00,1
208,2022-04-04 00:00:00,1
209,2022-04-07 00:00:00,1
210,2022-04-24 00:00:00,1
211,2022-04-27 00:00:00,1
212,2022-04-29 00:00:00,1
213,2022-05-01 00:00:00,1
214,2022-05-04 00:00:00,1
215,2022-05-07 00:00:00,1
216,2022-05-18 00:00:00,1
217,2022-05-25 00:00:00,1
218,2022-06-08 00:00:00,1
219,2022-06-10 00:00:00,1
220,2022-06-12 00:00:00,1
221,2022-06-13 00:00:00,1
222,2022-06-15 00:00:00,1
223,2022-06-29 00:00:00,1
224,2022-07-07 00:00:00,1
225,2022-07-08 00:00:00,1
226,2022-07-09 00:00:00,1
227,2022-07-12 00:00:00,1
228,2022-07-26 00:00:00,1
229,2022-07-27 00:00:00,1
230,2022-07-28 00:00:00,1
231,2022-07-31 00:00:00,1
232,2022-08-04 00:00:00,1
233,2022-08-08 00:00:00,1
234,2022-08-09 00:00:00,1
235,2022-08-10 00:00:00,1
236,2022-08-14 00:00:00,1
237,2022-08-15 00:00:00,1
238,2022-08-22 00:00:00,1
239,2022-08-23 00:00:00,1
240,2022-08-24 00:00:00,1
241,2022-08-27 00:00:00,1
242,2022-08-28 00:00:00,1
243,2022-08-29 00:00:00,1
244,2022-08-30 00:00:00,1
245,2022-09-09 00:00:00,1
246,2022-09-14 00:00:00,1
247,2022-09-20 00:00:00,1
248,2022-09-28 00:00:00,1
249,2022-09-30 00:00:00,1
250,2022-10-01 00:00:00,1
251,2022-10-02 00:00:00,1
252,2022-10-03 00:00:00,1
253,2022-10-06 00:00:00,1
254,2022-10-07 00:00:00,1
255,2022-10-08 00:00:00,1
256,2022-10-12 00:00:00,1
257,2022-10-18 00:00:00,1
258,2022-10-22 00:00:00,1
259,2022-10-29 00:00:00,1
260,2022-11-05 00:00:00,1
261,2022-11-21 00:00:00,1
262,2022-11-28 00:00:00,1
263,2022-12-05 00:00:00,1
264,2022-12-06 00:00:00,1
265,2022-12-11 00:00:00,1
266,2022-12-13 00:00:00,1
267,2022-12-17 00:00:00,1
268,2022-12-25 00:00:00,1
269,2022-12-31 00:00:00,1
270,2023-01-01 00:00:00,1
271,2023-01-05 00:00:00,1
272,2023-01-06 00:00:00,1
273,2023-01-08 00:00:00,1
274,2023-01-12 00:00:00,1
275,2023-01-13 00:00:00,1
276,2023-01-15 00:00:00,1
277,2023-01-16 00:00:00,1
278,2023-01-17 00:00:00,1
279,2023-01-20 00:00:00,1
280,2023-01-21 00:00:00,1
281,2023-01-24 00:00:00,1
282,2023-01-25 00:00:00,1
283,2023-01-26 00:00:00,1
284,2023-01-30 00:00:00,1
285,2023-02-01 00:00:00,1
286,2023-02-02 00:00:00,1
287,2023-02-03 00:00:00,1
288,2023-02-04 00:00:00,1
289,2023-02-06 00:00:00,1
290,2023-02-08 00:00:00,1
291,2023-02-12 00:00:00,1
292,2023-02-13 00:00:00,1
293,2023-02-14 00:00:00,1
294,2023-02-15 00:00:00,1
295,2023-02-17 00:00:00,1
296,2023-02-19 00:00:00,1
297,2023-02-22 00:00:00,1
298,2023-03-03 00:00:00,1
299,2023-03-08 00:00:00,1
300,2023-03-09 00:00:00,1
301,2023-03-17 00:00:00,1
302,2022-04-12 00:00:00,0
303,2022-04-23 00:00:00,0
304,2022-04-25 00:00:00,0
305,2022-04-28 00:00:00,0
306,2022-04-30 00:00:00,0
307,2022-05-02 00:00:00,0
308,2022-05-20 00:00:00,0
309,2022-05-22 00:00:00,0
310,2022-05-26 00:00:00,0
311,2022-05-29 00:00:00,0
312,2022-06-16 00:00:00,0
313,2022-06-19 00:00:00,0
314,2022-06-26 00:00:00,0
315,2022-06-30 00:00:00,0
316,2022-07-04 00:00:00,0
317,2022-07-13 00:00:00,0
318,2022-07-16 00:00:00,0
319,2022-07-17 00:00:00,0
320,2022-07-25 00:00:00,0
321,2022-07-29 00:00:00,0
322,2022-08-02 00:00:00,0
323,2022-08-03 00:00:00,0
324,2022-08-05 00:00:00,0
325,2022-08-13 00:00:00,0
326,2022-08-16 00:00:00,0
327,2022-08-18 00:00:00,0
328,2022-08-20 00:00:00,0
329,2022-09-02 00:00:00,0
330,2022-09-12 00:00:00,0
331,2022-09-16 00:00:00,0
332,2022-09-17 00:00:00,0
333,2022-09-23 00:00:00,0
334,2022-09-24 00:00:00,0
335,2022-09-27 00:00:00,0
336,2022-09-29 00:00:00,0
337,2022-10-14 00:00:00,0
338,2022-11-07 00:00:00,0
339,2022-11-09 00:00:00,0
340,2022-11-11 00:00:00,0
341,2022-11-12 00:00:00,0
342,2022-11-25 00:00:00,0
343,2022-11-30 00:00:00,0
344,2022-12-03 00:00:00,0
345,2022-12-04 00:00:00,0
346,2022-12-09 00:00:00,0
347,2022-12-12 00:00:00,0
348,2022-12-14 00:00:00,0
349,2022-12-16 00:00:00,0
350,2022-12-27 00:00:00,0
351,2022-12-29 00:00:00,0
352,2022-12-30 00:00:00,0
353,2023-01-04 00:00:00,0
354,2023-01-09 00:00:00,0
355,2023-01-11 00:00:00,0
356,2023-01-14 00:00:00,0
357,2023-01-23 00:00:00,0
358,2023-02-09 00:00:00,0
359,2023-02-21 00:00:00,0
360,2023-02-24 00:00:00,0
361,2023-02-28 00:00:00,0
362,2023-03-04 00:00:00,0
363,2023-03-05 00:00:00,0
364,2023-03-07 00:00:00,0
365,2023-03-10 00:00:00,0
